title,release_date,rating,imdb_id,tmbd_id,runtime,genres,budget,revenue
Avengers: Endgame,2019-04-24,PG-13,tt4154796,299534,181.0,"[['Adventure', 'Science Fiction', 'Action']]",356000000,2797800564
Star Wars: The Force Awakens,2015-12-15,PG-13,tt2488496,140607,136.0,"[['Action', 'Adventure', 'Science Fiction', 'Fantasy']]",245000000,2068223624
Avengers: Infinity War,2018-04-25,PG-13,tt4154756,299536,149.0,"[['Adventure', 'Action', 'Science Fiction']]",300000000,2046239637
Jurassic World,2015-06-06,PG-13,tt0369610,135397,124.0,"[['Action', 'Adventure', 'Science Fiction', 'Thriller']]",150000000,1671713208
The Lion King,2019-07-12,PG,tt6105098,420818,118.0,"[['Adventure', 'Family']]",260000000,1656943394
The Avengers,2012-04-25,PG-13,tt0848228,24428,143.0,"[['Science Fiction', 'Action', 'Adventure']]",220000000,1519557910
Furious 7,2015-04-01,PG-13,tt2820852,168259,137.0,"[['Action', 'Thriller']]",190000000,1515047671
Frozen II,2019-11-20,PG,tt4520988,330457,104.0,"[['Animation', 'Family', 'Adventure']]",150000000,1450026933
Avengers: Age of Ultron,2015-04-22,PG-13,tt2395427,99861,141.0,"[['Action', 'Adventure', 'Science Fiction']]",250000000,1405403694
Black Panther,2018-02-13,PG-13,tt1825683,284054,134.0,"[['Action', 'Adventure', 'Fantasy', 'Science Fiction']]",200000000,1346739107
Harry Potter and the Deathly Hallows: Part 2,2011-07-07,PG-13,tt1201607,12445,130.0,"[['Fantasy', 'Adventure']]",125000000,1341511219
Star Wars: The Last Jedi,2017-12-13,PG-13,tt2527336,181808,152.0,"[['Science Fiction', 'Action', 'Adventure']]",200000000,1332539889
Frozen,2013-11-27,PG,tt2294629,109445,102.0,"[['Animation', 'Adventure', 'Family']]",150000000,1274219009
Beauty and the Beast,2017-03-16,PG,tt2771200,321612,129.0,"[['Family', 'Fantasy', 'Romance']]",160000000,1263521126
Incredibles 2,2018-06-14,PG,tt3606756,260513,118.0,"[['Action', 'Adventure', 'Animation', 'Family']]",200000000,1242805359
The Fate of the Furious,2017-04-12,PG-13,tt4630562,337339,136.0,"[['Action', 'Crime', 'Thriller']]",250000000,1238764765
Iron Man 3,2013-04-18,PG-13,tt1300854,68721,130.0,"[['Action', 'Adventure', 'Science Fiction']]",200000000,1214811252
Minions,2015-06-17,PG,tt2293640,211672,91.0,"[['Family', 'Animation', 'Adventure', 'Comedy']]",74000000,1156730962
Captain America: Civil War,2016-04-27,PG-13,tt3498820,271110,147.0,"[['Adventure', 'Action', 'Science Fiction']]",250000000,1153296293
Aquaman,2018-12-07,PG-13,tt1477834,297802,144.0,"[['Action', 'Adventure', 'Fantasy']]",160000000,1148461807
Spider-Man: Far from Home,2019-06-28,PG-13,tt6320628,429617,129.0,"[['Action', 'Adventure', 'Science Fiction']]",160000000,1131927996
Captain Marvel,2019-03-06,PG-13,tt4154664,299537,124.0,"[['Action', 'Adventure', 'Science Fiction']]",152000000,1128274794
Transformers: Dark of the Moon,2011-06-28,PG-13,tt1399103,38356,154.0,"[['Action', 'Science Fiction', 'Adventure']]",195000000,1123794079
Skyfall,2012-10-25,PG-13,tt1074638,37724,143.0,"[['Action', 'Adventure', 'Thriller']]",200000000,1108561013
Transformers: Age of Extinction,2014-06-25,PG-13,tt2109248,91314,165.0,"[['Science Fiction', 'Action', 'Adventure']]",210000000,1104054072
The Dark Knight Rises,2012-07-16,PG-13,tt1345836,49026,165.0,"[['Action', 'Crime', 'Drama', 'Thriller']]",250000000,1081041287
Joker,2019-10-02,R,tt7286456,475557,122.0,"[['Crime', 'Thriller', 'Drama']]",55000000,1074251311
Star Wars: The Rise of Skywalker,2019-12-18,PG-13,tt2527338,181812,142.0,"[['Action', 'Adventure', 'Science Fiction']]",250000000,1074144248
Toy Story 4,2019-06-19,G,tt1979376,301528,100.0,"[['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']]",175000000,1073394593
Toy Story 3,2010-06-16,G,tt0435761,10193,103.0,"[['Animation', 'Family', 'Comedy']]",200000000,1066969703
Rogue One: A Star Wars Story,2016-12-14,PG-13,tt3748528,330459,133.0,"[['Action', 'Adventure', 'Science Fiction']]",200000000,1056057273
Aladdin,2019-05-22,PG,tt6139732,420817,128.0,"[['Adventure', 'Fantasy', 'Romance', 'Family']]",183000000,1047612394
